10/1/14,22:11:47,112,Material,00:04:27,
10/1/14,16:45:18,143,Vision,02:15:23,
10/1/14,14:26:13,127,Vision,00:45:13,
10/1/14,16:45:18,143,Vision,02:15:23,
10/1/14,14:26:13,127,Vision,00:45:13,
10/1/14,11:23:15,167,Position,00:02:14,
10/1/14,11:22:21,112,Position,00:07:14,
10/1/14,22:11:47,112,Material,00:04:27,
10/1/14,16:45:18,143,Vision,02:15:23,
10/1/14,11:23:15,167,Position,00:02:14,
10/1/14,11:22:21,112,Position,00:07:14,
10/1/14,22:11:47,112,Material,00:04:27,
10/1/14,16:45:18,143,Vision,02:15:23,
10/1/14,16:45:18,143,Vision,02:15:23,
10/1/14,14:26:13,127,Vision,00:45:13,
10/1/14,22:11:47,112,Material,00:04:27,
10/1/14,16:45:18,143,Vision,02:15:23,
10/1/14,22:11:47,112,Material,00:04:27,
